year;month;day;TM;RG
0;9;1;17.2117647059;1638.0588235294
0;9;2;17.5411764706;1564.2941176471
0;9;3;17.5941176471;1483.9411764706
0;9;4;17.1764705882;1548
0;9;5;17.5;1461.4705882353
0;9;6;17.4941176471;1347.5294117647
0;9;7;17.1647058824;1482.4117647059
0;9;8;17.5882352941;1440.4705882353
0;9;9;17.6176470588;1410.4117647059
0;9;10;17.4117647059;1468.4117647059
0;9;11;16.6882352941;1279.4117647059
0;9;12;16.0941176471;1209.8235294118
0;9;13;15.6117647059;1281.1176470588
0;9;14;15.5470588235;1410
0;9;15;15.3882352941;1268.9411764706
0;9;16;15.1176470588;1353.3529411765
0;9;17;14.6176470588;1205.3529411765
0;9;18;14.8882352941;1366.705882353
0;9;19;14.7470588235;1271.0588235294
0;9;20;15.1235294118;1339.7647058824
0;9;21;15.2647058824;1324.5294117647
0;9;22;15.1764705882;1223.1176470588
0;9;23;15.2352941176;1226.0588235294
0;9;24;14.2294117647;1076.7647058824
0;9;25;14.1352941176;1202.1176470588
0;9;26;14.2117647059;1080.9411764706
0;9;27;14.4294117647;1035.1176470588
0;9;28;14.6529411765;991
0;9;29;14.7941176471;923.4117647059
0;9;30;14.7294117647;1034.2352941177
0;10;1;15.1941176471;903.5882352941
0;10;2;14.6647058824;829.7058823529
0;10;3;14.1529411765;947.8235294118
0;10;4;13.6;808.3529411765
0;10;5;13.0411764706;795.9411764706
0;10;6;13.0117647059;710.6470588235
0;10;7;12.5058823529;867.1176470588
0;10;8;12.8176470588;738.3529411765
0;10;9;13.3705882353;723.3529411765
0;10;10;13.2294117647;834.9411764706
0;10;11;13.3176470588;812.5294117647
0;10;12;12.8411764706;895.8823529412
0;10;13;12.4235294118;821
0;10;14;11.8941176471;886.4117647059
0;10;15;11.3235294118;777.7058823529
0;10;16;11.4294117647;789.0588235294
0;10;17;11.0235294118;764.1176470588
0;10;18;10.6058823529;794.7058823529
0;10;19;10.9529411765;753.7058823529
0;10;20;11.5588235294;653
0;10;21;11.6411764706;684.5882352941
0;10;22;12.0764705882;755.9411764706
0;10;23;11.8117647059;643.5882352941
0;10;24;11.1;525.9411764706
0;10;25;11.7411764706;601.7647058824
0;10;26;11.3764705882;650.4117647059
0;10;27;10.8470588235;639.7058823529
0;10;28;10.9117647059;646
0;10;29;10.7470588235;546.2941176471
0;10;30;10.7941176471;594.5882352941
0;10;31;10.7058823529;585.5294117647
0;11;1;10.2411764706;474.8235294118
0;11;2;10.3411764706;445.4117647059
0;11;3;10.4941176471;550.2352941176
0;11;4;8.9705882353;573.2352941176
0;11;5;8.3294117647;548.9411764706
0;11;6;8.8117647059;504.8235294118
0;11;7;8.5176470588;431.0588235294
0;11;8;8.3117647059;343.8823529412
0;11;9;8.3176470588;391.1764705882
0;11;10;7.8176470588;474.9411764706
0;11;11;7.9235294118;445.2352941176
0;11;12;8.2647058824;391.9411764706
0;11;13;8.3;434.1764705882
0;11;14;7.7;405
0;11;15;6.5352941176;493.1176470588
0;11;16;6.0411764706;320.4705882353
0;11;17;6.0529411765;403.4705882353
0;11;18;6.1764705882;304.9411764706
0;11;19;5.9117647059;321.2352941176
0;11;20;5.9294117647;329.0588235294
0;11;21;6.4529411765;335.4705882353
0;11;22;6.4529411765;404.5882352941
0;11;23;6.8;308.8823529412
0;11;24;6.7529411765;315.2352941176
0;11;25;6.5647058824;269.2941176471
0;11;26;6.3058823529;340.4705882353
0;11;27;6.2647058824;335.4705882353
0;11;28;6.3529411765;287.2941176471
0;11;29;6.1823529412;304.1764705882
0;11;30;5.2294117647;283.5294117647
0;12;1;6;200
0;12;2;5.6352941176;243.2941176471
0;12;3;5.4588235294;265.2941176471
0;12;4;5.6823529412;223.3529411765
0;12;5;6.1647058824;276.2941176471
0;12;6;5.5470588235;268.7647058824
0;12;7;4.8117647059;235.8823529412
0;12;8;4.6294117647;235.2352941176
0;12;9;3.9411764706;304.5294117647
0;12;10;3.7411764706;332.3529411765
0;12;11;4.2411764706;306
0;12;12;4.5588235294;264.9411764706
0;12;13;4.3411764706;259.3529411765
0;12;14;3.9058823529;298
0;12;15;3.5117647059;325.8823529412
0;12;16;3.7117647059;305.2352941176
0;12;17;3.2176470588;277.9411764706
0;12;18;3.6235294118;253.1764705882
0;12;19;3.5764705882;288.1176470588
0;12;20;3.4882352941;323.0588235294
0;12;21;3.9117647059;227.2352941176
0;12;22;4.5705882353;226.8823529412
0;12;23;5.1;242.1176470588
0;12;24;5.6058823529;236.8235294118
0;12;25;5.2058823529;241.8235294118
0;12;26;3.9882352941;297.7647058824
0;12;27;4.1235294118;218.7647058824
0;12;28;3.4647058824;227.1764705882
0;12;29;3.8529411765;317.2941176471
0;12;30;4.6705882353;268.3529411765
0;12;31;5.0294117647;222.9411764706
1;1;1;5.0176470588;230.7058823529
1;1;2;4.5941176471;338
1;1;3;4.4941176471;307.7058823529
1;1;4;4.3;276.4117647059
1;1;5;4.3588235294;281.7058823529
1;1;6;4.6764705882;257.8235294118
1;1;7;4.4529411765;330.8823529412
1;1;8;4.5529411765;277.2352941176
1;1;9;4.4;327.2352941176
1;1;10;4.3588235294;293
1;1;11;4.2588235294;275.8235294118
1;1;12;4.1882352941;294.4705882353
1;1;13;4.9294117647;271.1176470588
1;1;14;4.2588235294;385.2941176471
1;1;15;4.0764705882;338.6470588235
1;1;16;4.4823529412;374.1764705882
1;1;17;4.8176470588;352.4117647059
1;1;18;5.1411764706;261.4705882353
1;1;19;5.7705882353;272
1;1;20;5.6294117647;268.7058823529
1;1;21;5.2058823529;310.8235294118
1;1;22;4.9;310.6470588235
1;1;23;4.5705882353;300.3529411765
1;1;24;4.0058823529;373.2941176471
1;1;25;3.1470588235;439.2352941176
1;1;26;3.3117647059;302
1;1;27;3.2529411765;458.0588235294
1;1;28;4.0470588235;340.1176470588
1;1;29;3.3176470588;359.7058823529
1;1;30;2.9;440.0588235294
1;1;31;3.2117647059;465.1176470588
1;2;1;3.5117647059;378.3529411765
1;2;2;3.9;425
1;2;3;4.2294117647;495
1;2;4;5.2352941176;470.1176470588
1;2;5;5.7647058824;418.7058823529
1;2;6;5.3117647059;437.4117647059
1;2;7;4;542
1;2;8;4.7529411765;450.7647058824
1;2;9;3.6352941176;490.1176470588
1;2;10;3.6176470588;528.8823529412
1;2;11;4.7941176471;598.7058823529
1;2;12;3.9;524.1764705882
1;2;13;3.7882352941;551.3529411765
1;2;14;3.7764705882;519
1;2;15;4.1058823529;590.5294117647
1;2;16;3.7647058824;737.5882352941
1;2;17;4.2176470588;663
