Nom de la demande:Gif-sur-Yvette;;;;;;
Pas de temps:Journalier;;;;;;
Date de début:01/09/2008;;;;;;
Date de fin:31/08/2014;;;;;;
Station(s):91272003;;;;;;
;;;;;;
RG:RAYONNEMENT GLOBAL (JOULES/CM2);;;;;;
TM:TEMPERATURE MOYENNE (DEGRES CELSIUS);;;;;;
;;;;;;
NOM_POSTE;year;month;day;RG;TM;PAR
Gif-sur-Yvette;2008;9;1;1045;17.3;21109000
Gif-sur-Yvette;2008;9;2;866;16.5;17493200
Gif-sur-Yvette;2008;9;3;874;13.1;17654800
Gif-sur-Yvette;2008;9;4;1103;13.8;22280600
Gif-sur-Yvette;2008;9;5;558;16.3;11271600
Gif-sur-Yvette;2008;9;6;1713;16.8;34602600
Gif-sur-Yvette;2008;9;7;1166;15.6;23553200
Gif-sur-Yvette;2008;9;8;1762;14.9;35592400
Gif-sur-Yvette;2008;9;9;1304;17.7;26340800
Gif-sur-Yvette;2008;9;10;1441;19.2;29108200
Gif-sur-Yvette;2008;9;11;1356;18.3;27391200
Gif-sur-Yvette;2008;9;12;1520;14.2;30704000
Gif-sur-Yvette;2008;9;13;1242;13.8;25088400
Gif-sur-Yvette;2008;9;14;1943;14.1;39248600
Gif-sur-Yvette;2008;9;15;1313;12.3;26522600
Gif-sur-Yvette;2008;9;16;1709;11.9;34521800
Gif-sur-Yvette;2008;9;17;1646;11.5;33249200
Gif-sur-Yvette;2008;9;18;1490;10.5;30098000
Gif-sur-Yvette;2008;9;19;1765;11.3;35653000
Gif-sur-Yvette;2008;9;20;1821;12.8;36784200
Gif-sur-Yvette;2008;9;21;1752;12.2;35390400
Gif-sur-Yvette;2008;9;22;1282;12.2;25896400
Gif-sur-Yvette;2008;9;23;1067;11.5;21553400
Gif-sur-Yvette;2008;9;24;1203;13.3;24300600
Gif-sur-Yvette;2008;9;25;1126;13.8;22745200
Gif-sur-Yvette;2008;9;26;1664;13.2;33612800
Gif-sur-Yvette;2008;9;27;1651;13.1;33350200
Gif-sur-Yvette;2008;9;28;1564;12.7;31592800
Gif-sur-Yvette;2008;9;29;1190;11.7;24038000
Gif-sur-Yvette;2008;9;30;58;10.3;1171600
Gif-sur-Yvette;2008;10;1;787;13.5;15897400
Gif-sur-Yvette;2008;10;2;1139;9.6;23007800
Gif-sur-Yvette;2008;10;3;677;7.3;13675400
Gif-sur-Yvette;2008;10;4;1230;9.2;24846000
Gif-sur-Yvette;2008;10;5;354;12.6;7150800
Gif-sur-Yvette;2008;10;6;638;14.7;12887600
Gif-sur-Yvette;2008;10;7;643;15.9;12988600
Gif-sur-Yvette;2008;10;8;751;12.3;15170200
Gif-sur-Yvette;2008;10;9;1253;10.5;25310600
Gif-sur-Yvette;2008;10;10;1202;12.4;24280400
Gif-sur-Yvette;2008;10;11;1018;12.4;20563600
Gif-sur-Yvette;2008;10;12;784;14.6;15836800
Gif-sur-Yvette;2008;10;13;1094;17.3;22098800
Gif-sur-Yvette;2008;10;14;838;14.5;16927600
Gif-sur-Yvette;2008;10;15;270;13.2;5454000
Gif-sur-Yvette;2008;10;16;593;10.9;11978600
Gif-sur-Yvette;2008;10;17;969;8.7;19573800
Gif-sur-Yvette;2008;10;18;1008;8.8;20361600
Gif-sur-Yvette;2008;10;19;1132;9.5;22866400
Gif-sur-Yvette;2008;10;20;964;13.9;19472800
Gif-sur-Yvette;2008;10;21;289;10.6;5837800
Gif-sur-Yvette;2008;10;22;767;8.7;15493400
Gif-sur-Yvette;2008;10;23;1067;8.5;21553400
Gif-sur-Yvette;2008;10;24;428;9.5;8645600
Gif-sur-Yvette;2008;10;25;319;10.1;6443800
Gif-sur-Yvette;2008;10;26;425;11.3;8585000
Gif-sur-Yvette;2008;10;27;687;9.7;13877400
Gif-sur-Yvette;2008;10;28;821;5.4;16584200
Gif-sur-Yvette;2008;10;29;641;2.7;12948200
Gif-sur-Yvette;2008;10;30;252;3.4;5090400
Gif-sur-Yvette;2008;10;31;212;5.8;4282400
Gif-sur-Yvette;2008;11;1;149;8.3;3009800
Gif-sur-Yvette;2008;11;2;509;8.5;10281800
Gif-sur-Yvette;2008;11;3;746;10.7;15069200
Gif-sur-Yvette;2008;11;4;655;10.3;13231000
Gif-sur-Yvette;2008;11;5;104;8.6;2100800
Gif-sur-Yvette;2008;11;6;138;8.7;2787600
Gif-sur-Yvette;2008;11;7;192;8.7;3878400
Gif-sur-Yvette;2008;11;8;453;8.4;9150600
Gif-sur-Yvette;2008;11;9;469;10.9;9473800
Gif-sur-Yvette;2008;11;10;166;13.1;3353200
Gif-sur-Yvette;2008;11;11;590;9.9;11918000
Gif-sur-Yvette;2008;11;12;366;7.1;7393200
Gif-sur-Yvette;2008;11;13;482;6.9;9736400
Gif-sur-Yvette;2008;11;14;207;8.4;4181400
Gif-sur-Yvette;2008;11;15;140;10.2;2828000
Gif-sur-Yvette;2008;11;16;155;10.6;3131000
Gif-sur-Yvette;2008;11;17;426;8;8605200
Gif-sur-Yvette;2008;11;18;237;9;4787400
Gif-sur-Yvette;2008;11;19;334;8;6746800
Gif-sur-Yvette;2008;11;20;175;9.5;3535000
Gif-sur-Yvette;2008;11;21;230;8.6;4646000
Gif-sur-Yvette;2008;11;22;397;3.4;8019400
Gif-sur-Yvette;2008;11;23;154;2.3;3110800
Gif-sur-Yvette;2008;11;24;418;3.2;8443600
Gif-sur-Yvette;2008;11;25;405;2.7;8181000
Gif-sur-Yvette;2008;11;26;414;4.4;8362800
Gif-sur-Yvette;2008;11;27;400;2.3;8080000
Gif-sur-Yvette;2008;11;28;203;1;4100600
Gif-sur-Yvette;2008;11;29;382;2.3;7716400
Gif-sur-Yvette;2008;11;30;207;2.3;4181400
Gif-sur-Yvette;2008;12;1;94;3.7;1898800
Gif-sur-Yvette;2008;12;2;493;3.4;9958600
Gif-sur-Yvette;2008;12;3;112;3.7;2262400
Gif-sur-Yvette;2008;12;4;148;4.8;2989600
Gif-sur-Yvette;2008;12;5;112;6.1;2262400
Gif-sur-Yvette;2008;12;6;305;5.7;6161000
Gif-sur-Yvette;2008;12;7;265;2.4;5353000
Gif-sur-Yvette;2008;12;8;215;1.1;4343000
Gif-sur-Yvette;2008;12;9;107;0.6;2161400
Gif-sur-Yvette;2008;12;10;294;1.5;5938800
Gif-sur-Yvette;2008;12;11;397;0.3;8019400
Gif-sur-Yvette;2008;12;12;122;-1.9;2464400
Gif-sur-Yvette;2008;12;13;208;0;4201600
Gif-sur-Yvette;2008;12;14;92;3.5;1858400
Gif-sur-Yvette;2008;12;15;164;1.1;3312800
Gif-sur-Yvette;2008;12;16;96;-0.5;1939200
Gif-sur-Yvette;2008;12;17;102;1.9;2060400
Gif-sur-Yvette;2008;12;18;117;4.7;2363400
Gif-sur-Yvette;2008;12;19;394;7.2;7958800
Gif-sur-Yvette;2008;12;20;161;8.5;3252200
Gif-sur-Yvette;2008;12;21;90;8.8;1818000
Gif-sur-Yvette;2008;12;22;140;8.1;2828000
Gif-sur-Yvette;2008;12;23;328;6.8;6625600
Gif-sur-Yvette;2008;12;24;251;3.8;5070200
Gif-sur-Yvette;2008;12;25;309;5;6241800
Gif-sur-Yvette;2008;12;26;476;1;9615200
Gif-sur-Yvette;2008;12;27;457;-0.9;9231400
Gif-sur-Yvette;2008;12;28;467;-2.2;9433400
Gif-sur-Yvette;2008;12;29;489;-1.8;9877800
Gif-sur-Yvette;2008;12;30;110;-0.3;2222000
Gif-sur-Yvette;2008;12;31;128;0.1;2585600
Gif-sur-Yvette;2009;1;1;90;-0.2;1818000
Gif-sur-Yvette;2009;1;2;427;-1;8625400
Gif-sur-Yvette;2009;1;3;499;-1.3;10079800
