Elapsed_time	Temp_cum	Num_plante	Genotype	Num_talle	Ear_sumtemp	Ear_length	Ear_surface	Ear_PAR	Photosynthetic	Emerged
82.0	375.6	4	Maxwell	(1,)	9.0	0.0	0.0	0.0	True	True
83.0	382.7	4	Maxwell	(1, 2, 1, 1, 1, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 1, 1, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 1, 1, 3)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 1, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 1, 2, 2)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 1, 2)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 1, 3, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 1, 3)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 1, 5)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 2, 1, 2)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 2, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 2, 2, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 2, 2)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 2, 4)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 2)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 3, 1, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 3, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 3, 3)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 3)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 4, 2)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 4)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 5, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 5)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2, 7)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 2)	7.1	0.0	0.0	0.0	True	True
83.0	382.7	4	Maxwell	(1, 3, 1, 1, 2)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3, 1, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3, 1, 2, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3, 1, 2)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3, 1, 4)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3, 2, 1, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3, 2, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3, 2, 3)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3, 2)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3, 3, 2)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3, 3)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3, 4, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3, 4)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3, 6)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 3)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 4, 1, 1, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 4, 1, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 4, 1, 3)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 4, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 4, 2, 2)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 4, 2)	7.1	0.0	0.0	0.0	True	False
