Abs_int_PAR	Elapsed_time	Inc_PAR	Num_plante	Num_talle	Sum_PAR	Temp_cum
16457.0743205	141.0	30098000	1	(1, 2)	1373518.22165	698.3
193.211960262	141.0	30098000	1	(1, 2, 1)	72245.739279	698.3
174.512956878	141.0	30098000	1	(1, 4)	35292.3312227	698.3
37359.3313576	141.0	30098000	1	(1,)	1641494.11127	698.3
14251.7588541	141.0	30098000	2	(1, 2)	1246043.96795	698.3
187.122923686	141.0	30098000	2	(1, 2, 1)	76341.2315706	698.3
7126.91327764	141.0	30098000	2	(1, 3)	850819.203769	698.3
114.426467633	141.0	30098000	2	(1, 4)	25119.0557978	698.3
30061.4175139	141.0	30098000	2	(1,)	1357031.8227	698.3
8667.71310803	141.0	30098000	3	(1, 2)	1067980.47908	698.3
10.5651506089	141.0	30098000	3	(1, 2, 1)	7922.83314684	698.3
2042.34649706	141.0	30098000	3	(1, 3)	314542.476893	698.3
26.9453098729	141.0	30098000	3	(1, 4)	16258.8652019	698.3
28318.8738869	141.0	30098000	3	(1,)	1304140.72356	698.3
16912.9853735	141.0	30098000	4	(1, 2)	1411568.8573	698.3
228.823994482	141.0	30098000	4	(1, 4)	46275.8316027	698.3
39171.2972626	141.0	30098000	4	(1,)	1721108.25999	698.3
3449.83532282	142.0	6140800	1	(1, 2)	459735.665752	705.2
46.0393350068	142.0	6140800	1	(1, 2, 1)	16544.4146243	705.2
40.3676952966	142.0	6140800	1	(1, 4)	12702.8266052	705.2
7718.73288717	142.0	6140800	1	(1,)	549004.88515	705.2
2978.50009932	142.0	6140800	2	(1, 2)	415625.118469	705.2
45.980363578	142.0	6140800	2	(1, 2, 1)	29049.0237426	705.2
1498.97589709	142.0	6140800	2	(1, 3)	285781.174007	705.2
25.8758937798	142.0	6140800	2	(1, 4)	8798.27321188	705.2
6190.40213344	142.0	6140800	2	(1,)	452434.118568	705.2
1840.47754388	142.0	6140800	3	(1, 2)	360245.257504	705.2
1.91989671667	142.0	6140800	3	(1, 2, 1)	2217.69470065	705.2
440.729843533	142.0	6140800	3	(1, 3)	106882.992643	705.2
5.57337554572	142.0	6140800	3	(1, 4)	5343.32303487	705.2
5948.14563167	142.0	6140800	3	(1,)	444074.13054	705.2
3558.62071816	142.0	6140800	4	(1, 2)	474232.742124	705.2
55.5372810789	142.0	6140800	4	(1, 4)	17476.3618901	705.2
8084.60815786	142.0	6140800	4	(1,)	575028.238193	705.2
6617.84156375	143.0	12524000	1	(1, 2)	642896.544847	713.7
173.50601609	143.0	12524000	1	(1, 2, 1)	44444.1150798	713.7
180.080209365	143.0	12524000	1	(1, 4)	41552.2237211	713.7
14949.7435921	143.0	12524000	1	(1,)	799078.97763	713.7
6221.54253641	143.0	12524000	2	(1, 2)	675846.543763	713.7
109.186605777	143.0	12524000	2	(1, 2, 1)	32138.9057058	713.7
3144.47985839	143.0	12524000	2	(1, 3)	466841.743398	713.7
61.698775003	143.0	12524000	2	(1, 4)	15812.2659172	713.7
12782.2700517	143.0	12524000	2	(1,)	739752.915458	713.7
5784.77372976	143.0	12524000	3	(1, 2)	910404.537019	713.7
13.793545355	143.0	12524000	3	(1, 2, 1)	11938.501102	713.7
2021.48913361	143.0	12524000	3	(1, 3)	384520.718183	713.7
18.7859356077	143.0	12524000	3	(1, 4)	13961.2329706	713.7
16453.8725383	143.0	12524000	3	(1,)	993298.2058	713.7
6364.53481379	143.0	12524000	4	(1, 2)	618288.818481	713.7
223.599112577	143.0	12524000	4	(1, 4)	51593.9001982	713.7
15894.116708	143.0	12524000	4	(1,)	849556.679763	713.7
4393.56598291	144.0	7918400	1	(1, 2)	544405.826295	720.0
153.487263763	144.0	7918400	1	(1, 2, 1)	49254.6474988	720.0
168.179343686	144.0	7918400	1	(1, 4)	49254.7258604	720.0
9625.20737136	144.0	7918400	1	(1,)	665102.49308	720.0
3967.99337364	144.0	7918400	2	(1, 2)	564078.205149	720.0
79.8472582811	144.0	7918400	2	(1, 2, 1)	29503.411685	720.0
2012.84896649	144.0	7918400	2	(1, 3)	391047.892711	720.0
44.0948335067	144.0	7918400	2	(1, 4)	14479.7123768	720.0
8091.2065149	144.0	7918400	2	(1,)	620316.285447	720.0
3655.76586133	144.0	7918400	3	(1, 2)	769978.209217	720.0
14.3551054809	144.0	7918400	3	(1, 2, 1)	13412.0186931	720.0
1271.63581078	144.0	7918400	3	(1, 3)	312435.108077	720.0
17.2600737882	144.0	7918400	3	(1, 4)	13047.1368007	720.0
10398.4805168	144.0	7918400	3	(1,)	844171.41215	720.0
4185.13600923	144.0	7918400	4	(1, 2)	518579.312596	720.0
208.144647109	144.0	7918400	4	(1, 4)	60959.3741301	720.0
10179.4711101	144.0	7918400	4	(1,)	703402.155643	720.0
18257.6596174	145.0	31027200	1	(1, 2)	2009524.19921	726.7
821.978250862	145.0	31027200	1	(1, 2, 1)	230508.155409	726.7
928.368722836	145.0	31027200	1	(1, 4)	240501.655028	726.7
38783.7997462	145.0	31027200	1	(1,)	2412060.02684	726.7
13920.1399228	145.0	31027200	2	(1, 2)	1738237.13336	726.7
490.071708911	145.0	31027200	2	(1, 2, 1)	156192.570641	726.7
7598.22333489	145.0	31027200	2	(1, 3)	1616394.04076	726.7
267.939759021	145.0	31027200	2	(1, 4)	77167.8745585	726.7
29773.1708431	145.0	31027200	2	(1,)	2040714.00319	726.7
14357.3197322	145.0	31027200	3	(1, 2)	2814993.6391	726.7
66.7911333218	145.0	31027200	3	(1, 2, 1)	54702.447331	726.7
4957.619018	145.0	31027200	3	(1, 3)	1109571.68062	726.7
75.71417349	145.0	31027200	3	(1, 4)	30377.6398936	726.7
40762.1198594	145.0	31027200	3	(1,)	3099045.93286	726.7
17103.9675276	145.0	31027200	4	(1, 2)	1882543.40202	726.7
1157.64010225	145.0	31027200	4	(1, 4)	299896.316701	726.7
