Init_flag	Elapsed_time	DOY	Temperature	Temp_cum	Num_plante	Num_talle	Sheath_max	Collar_height	Dead_collar_height	Delta_H	Visible_leaves_surface	Visible_surface	Leaf_contrib_to_GAI	Stem_contrib_to_GAI	Ear_contrib_to_GAI	Peduncle_contrib_to_GAI	Stop_growth_flag
True	1.0	300	10.3	10.3	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	1.0	300	10.3	10.3	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	1.0	300	10.3	10.3	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	1.0	300	10.3	10.3	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	2.0	301	10.4	20.7	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	2.0	301	10.4	20.7	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	2.0	301	10.4	20.7	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	2.0	301	10.4	20.7	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	3.0	302	12.6	33.3	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	3.0	302	12.6	33.3	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	3.0	302	12.6	33.3	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	3.0	302	12.6	33.3	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	4.0	303	11.4	44.7	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	4.0	303	11.4	44.7	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	4.0	303	11.4	44.7	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	4.0	303	11.4	44.7	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	5.0	304	11.3	56.0	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	5.0	304	11.3	56.0	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	5.0	304	11.3	56.0	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	5.0	304	11.3	56.0	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	6.0	305	9.8	65.8	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	6.0	305	9.8	65.8	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	6.0	305	9.8	65.8	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	6.0	305	9.8	65.8	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	7.0	306	10.0	75.8	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	7.0	306	10.0	75.8	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	7.0	306	10.0	75.8	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	7.0	306	10.0	75.8	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	8.0	307	13.7	89.5	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	8.0	307	13.7	89.5	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	8.0	307	13.7	89.5	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	8.0	307	13.7	89.5	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	9.0	308	14.8	104.3	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	9.0	308	14.8	104.3	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	9.0	308	14.8	104.3	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	9.0	308	14.8	104.3	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	10.0	309	14.5	118.8	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	10.0	309	14.5	118.8	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	10.0	309	14.5	118.8	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	10.0	309	14.5	118.8	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	11.0	310	11.2	130.0	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	11.0	310	11.2	130.0	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	11.0	310	11.2	130.0	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	11.0	310	11.2	130.0	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	12.0	311	6.1	136.1	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	12.0	311	6.1	136.1	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	12.0	311	6.1	136.1	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	12.0	311	6.1	136.1	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	13.0	312	5.1	141.2	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	13.0	312	5.1	141.2	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	13.0	312	5.1	141.2	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	13.0	312	5.1	141.2	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	14.0	313	8.1	149.3	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	14.0	313	8.1	149.3	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	14.0	313	8.1	149.3	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	14.0	313	8.1	149.3	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	15.0	314	6.2	155.5	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	15.0	314	6.2	155.5	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	15.0	314	6.2	155.5	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	15.0	314	6.2	155.5	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	16.0	315	8.0	163.5	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	16.0	315	8.0	163.5	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	16.0	315	8.0	163.5	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	16.0	315	8.0	163.5	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	17.0	316	12.8	176.3	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	17.0	316	12.8	176.3	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	17.0	316	12.8	176.3	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	17.0	316	12.8	176.3	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	18.0	317	13.9	190.2	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	18.0	317	13.9	190.2	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	18.0	317	13.9	190.2	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	18.0	317	13.9	190.2	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	19.0	318	11.5	201.7	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	19.0	318	11.5	201.7	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	19.0	318	11.5	201.7	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
True	19.0	318	11.5	201.7	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	0.0	319	7.2	0.0	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	0.0	319	7.2	0.0	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	0.0	319	7.2	0.0	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	0.0	319	7.2	0.0	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	1.0	320	10.3	10.3	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	1.0	320	10.3	10.3	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	1.0	320	10.3	10.3	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	1.0	320	10.3	10.3	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	2.0	321	10.4	20.7	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	2.0	321	10.4	20.7	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	2.0	321	10.4	20.7	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	2.0	321	10.4	20.7	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	3.0	322	12.6	33.3	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	3.0	322	12.6	33.3	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	3.0	322	12.6	33.3	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	3.0	322	12.6	33.3	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	4.0	323	11.4	44.7	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	4.0	323	11.4	44.7	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	4.0	323	11.4	44.7	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	4.0	323	11.4	44.7	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	5.0	324	11.3	56.0	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	5.0	324	11.3	56.0	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	5.0	324	11.3	56.0	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	5.0	324	11.3	56.0	4	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	6.0	325	9.8	65.8	1	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	6.0	325	9.8	65.8	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	6.0	325	9.8	65.8	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	6.0	325	9.8	65.8	4	(1,)	0.5	0.5	0.0	0.0	0.00226988068421	0.00226988068421	0.00226988068421	0.0	0.0	0.0	False
False	7.0	326	10.0	75.8	1	(1,)	0.5	0.5	0.0	0.0	0.00236347426511	0.00236347426511	0.00236347426511	0.0	0.0	0.0	False
False	7.0	326	10.0	75.8	2	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	7.0	326	10.0	75.8	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	7.0	326	10.0	75.8	4	(1,)	0.5	0.5	0.0	0.0	0.00926576450893	0.00926576450893	0.00926576450893	0.0	0.0	0.0	False
False	8.0	327	13.7	89.5	1	(1,)	0.5	0.5	0.0	0.0	0.0132753985997	0.0132753985997	0.0132753985997	0.0	0.0	0.0	False
False	8.0	327	13.7	89.5	2	(1,)	0.5	0.5	0.0	0.0	0.00443600484818	0.00443600484818	0.00443600484818	0.0	0.0	0.0	False
False	8.0	327	13.7	89.5	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	8.0	327	13.7	89.5	4	(1,)	0.5	0.5	0.0	0.0	0.0265240899402	0.0265240899402	0.0265240899402	0.0	0.0	0.0	False
False	9.0	328	14.8	104.3	1	(1,)	0.5	0.5	0.0	0.0	0.0350325972946	0.0350325972946	0.0350325972946	0.0	0.0	0.0	False
False	9.0	328	14.8	104.3	2	(1,)	0.5	0.5	0.0	0.0	0.0191973197183	0.0191973197183	0.0191973197183	0.0	0.0	0.0	False
False	9.0	328	14.8	104.3	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	9.0	328	14.8	104.3	4	(1,)	0.5	0.5	0.0	0.0	0.0551372547833	0.0551372547833	0.0551372547833	0.0	0.0	0.0	False
False	10.0	329	14.5	118.8	1	(1,)	0.5	0.5	0.0	0.0	0.0663899921069	0.0663899921069	0.0663899921069	0.0	0.0	0.0	False
False	10.0	329	14.5	118.8	2	(1,)	0.5	0.5	0.0	0.0	0.0437006391618	0.0437006391618	0.0437006391618	0.0	0.0	0.0	False
False	10.0	329	14.5	118.8	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	10.0	329	14.5	118.8	4	(1,)	0.5	0.5	0.0	0.0	0.093211643457	0.093211643457	0.093211643457	0.0	0.0	0.0	False
False	11.0	330	11.2	130.0	1	(1,)	0.5	0.5	0.0	0.0	0.0974139007004	0.0974139007004	0.0974139007004	0.0	0.0	0.0	False
False	11.0	330	11.2	130.0	2	(1,)	0.5	0.5	0.0	0.0	0.0694303654015	0.0694303654015	0.0694303654015	0.0	0.0	0.0	False
False	11.0	330	11.2	130.0	3	(1,)	0.5	0.5	0.0	0.0	0.00296474211815	0.00296474211815	0.00296474211815	0.0	0.0	0.0	False
False	11.0	330	11.2	130.0	4	(1,)	0.5	0.5	0.0	0.0	0.129423850757	0.129423850757	0.129423850757	0.0	0.0	0.0	False
False	12.0	331	6.1	136.1	1	(1,)	0.5	0.5	0.0	0.0	0.116805025308	0.116805025308	0.116805025308	0.0	0.0	0.0	False
False	12.0	331	6.1	136.1	2	(1,)	0.5	0.5	0.0	0.0	0.0859380514062	0.0859380514062	0.0859380514062	0.0	0.0	0.0	False
False	12.0	331	6.1	136.1	3	(1,)	0.5	0.5	0.0	0.0	0.00707364212804	0.00707364212804	0.00707364212804	0.0	0.0	0.0	False
False	12.0	331	6.1	136.1	4	(1,)	0.5	0.5	0.0	0.0	0.151640745197	0.151640745197	0.151640745197	0.0	0.0	0.0	False
