Elapsed_time	Temperature	Temp_cum	Num_plante	Genotype	Num_talle	Num_rang	Sumtemp	GAI_prox	P_debourr
30.0	1.8	254.8	1	Maxwell	(1,)	1	298.0	0.0441656287144	0.0
30.0	1.8	254.8	4	Maxwell	(1,)	1	309.3	0.0441656287144	0.0
47.0	4.0	266.6	2	Maxwell	(1,)	1	300.0	0.0460491267308	0.0
75.0	4.9	317.4	3	Maxwell	(1,)	1	312.3	0.0732587347587	0.0
80.0	10.2	357.9	1	Maxwell	(1,)	2	356.6	0.100374593448	0.88
80.0	10.2	357.9	4	Maxwell	(1,)	2	367.9	0.100374593448	0.88
81.0	8.7	366.6	2	Maxwell	(1,)	2	355.5	0.105901930224	0.88
92.0	4.3	414.0	3	Maxwell	(1,)	2	364.4	0.155656410569	0.88
104.0	7.1	457.5	1	Maxwell	(1,)	3	411.7	0.206331754912	0.88
104.0	7.1	457.5	4	Maxwell	(1,)	3	423.0	0.206331754912	0.88
105.0	8.4	465.9	2	Maxwell	(1,)	3	410.3	0.214155172315	0.88
111.0	6.8	514.9	3	Maxwell	(1,)	3	420.8	0.297223448578	0.88
120.0	4.1	553.3	1	Maxwell	(1, 2)	1	463.0	0.392072285408	0.88
120.0	4.1	553.3	1	Maxwell	(1,)	4	463.0	0.392072285408	0.88
120.0	4.1	553.3	4	Maxwell	(1, 2)	1	474.3	0.392072285408	0.88
120.0	4.1	553.3	4	Maxwell	(1,)	4	474.3	0.392072285408	0.88
121.0	9.3	562.6	2	Maxwell	(1, 2)	1	462.5	0.400340368749	0.88
121.0	9.3	562.6	2	Maxwell	(1,)	4	462.5	0.400340368749	0.88
132.0	3.4	612.5	3	Maxwell	(1, 2)	1	473.9	0.553463821738	0.88
132.0	3.4	612.5	3	Maxwell	(1,)	4	473.9	0.553463821738	0.88
