Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1900;9;1;17.1727272727;1624.8125;32821212.5
France;1900;9;2;17.4545454545;1642.9875;33188347.5
France;1900;9;3;17.9636363636;1550.95;31329190
France;1900;9;4;17.9909090909;1502.925;30359085
France;1900;9;5;18.1272727273;1620.4875;32733847.5
France;1900;9;6;17.7818181818;1504.65;30393930
France;1900;9;7;17.2727272727;1602.2875;32366207.5
France;1900;9;8;17.5272727273;1660.5125;33542352.5
France;1900;9;9;18.0454545455;1537.3125;31053712.5
France;1900;9;10;17.9363636364;1583.75;31991750
France;1900;9;11;16.8090909091;1331.075;26887715
France;1900;9;12;16.2272727273;1421.4875;28714047.5
France;1900;9;13;15.9272727273;1470.3375;29700817.5
France;1900;9;14;15.7;1428.9;28863780
France;1900;9;15;15.4818181818;1418.475;28653195
France;1900;9;16;15.1909090909;1247.45;25198490
France;1900;9;17;14.4818181818;1133.775;22902255
France;1900;9;18;14.5909090909;1165.8;23549160
France;1900;9;19;14.3;1420.45;28693090
France;1900;9;20;15.1545454545;1523.8125;30781012.5
France;1900;9;21;15.6363636364;1383.6125;27948972.5
France;1900;9;22;15.5363636364;1410.2375;28486797.5
France;1900;9;23;15.6909090909;1313.9125;26541032.5
France;1900;9;24;14.4636363636;1247.8875;25207327.5
France;1900;9;25;14.1909090909;1281.125;25878725
France;1900;9;26;14.0636363636;1263.15;25515630
France;1900;9;27;14.3545454545;1369.9875;27673747.5
France;1900;9;28;14.4727272727;1327.45;26814490
France;1900;9;29;14.5545454545;1150.9375;23248937.5
France;1900;9;30;14.7545454545;1149.9625;23229242.5
France;1900;10;1;15.3727272727;1112.5625;22473762.5
France;1900;10;2;14.7545454545;1171.4;23662280
France;1900;10;3;14.6636363636;1120.6125;22636372.5
France;1900;10;4;14.3545454545;1004.775;20296455
France;1900;10;5;14.0181818182;904.75;18275950
France;1900;10;6;14.2454545455;891.3125;18004512.5
France;1900;10;7;13.5181818182;945.9125;19107432.5
France;1900;10;8;13.2818181818;862.1;17414420
France;1900;10;9;13.9909090909;866.95;17512390
France;1900;10;10;13.5363636364;930.9625;18805442.5
France;1900;10;11;13.7545454545;967.375;19540975
France;1900;10;12;13.1454545455;936.55;18918310
France;1900;10;13;12.5454545455;917.375;18530975
France;1900;10;14;11.7090909091;940.0875;18989767.5
France;1900;10;15;10.5090909091;925.3625;18692322.5
France;1900;10;16;10.7909090909;843.1625;17031882.5
France;1900;10;17;10.6454545455;849.875;17167475
France;1900;10;18;10.1545454545;849.7875;17165707.5
France;1900;10;19;10.7818181818;847.8;17125560
France;1900;10;20;11.3727272727;793.7125;16032992.5
France;1900;10;21;10.6272727273;752.025;15190905
France;1900;10;22;11.2454545455;732.0027777778;14786456.1111111
France;1900;10;23;11.1909090909;690.65;13951130
France;1900;10;24;10.7818181818;651.5875;13162067.5
France;1900;10;25;11.1727272727;676.25;13660250
France;1900;10;26;11.1909090909;667.1875;13477187.5
France;1900;10;27;10.2909090909;669.1375;13516577.5
France;1900;10;28;10.4636363636;699.85;14136970
France;1900;10;29;10.4909090909;681.2;13760240
France;1900;10;30;9.8363636364;733.5;14816700
France;1900;10;31;10.0909090909;726.8125;14681612.5
France;1900;11;1;9.6272727273;606.4625;12250542.5
France;1900;11;2;10.0090909091;601.9;12158380
France;1900;11;3;11.0454545455;564.0875;11394567.5
France;1900;11;4;9.8636363636;451.6625;9123582.5
France;1900;11;5;8.8636363636;522.5625;10555762.5
France;1900;11;6;9.0727272727;562.55;11363510
France;1900;11;7;8.7;513.1;10364620
France;1900;11;8;8.2363636364;489.65;9890930
France;1900;11;9;8.0454545455;508.525;10272205
France;1900;11;10;7.9636363636;468.3625;9460922.5
France;1900;11;11;8.1545454545;532.625;10759025
France;1900;11;12;8.2818181818;534.5;10796900
France;1900;11;13;8.7;509.5625;10293162.5
France;1900;11;14;7.9818181818;461.05;9313210
France;1900;11;15;6.8636363636;447.05;9030410
France;1900;11;16;6.6363636364;472.9375;9553337.5
France;1900;11;17;6.7818181818;464.5875;9384667.5
France;1900;11;18;7.0545454545;471.3875;9522027.5
France;1900;11;19;6.8363636364;427.5875;8637267.5
France;1900;11;20;6.8727272727;380.6375;7688877.5
France;1900;11;21;7.5454545455;340.2625;6873302.5
France;1900;11;22;7.1909090909;379.2;7659840
France;1900;11;23;7.5727272727;369.9375;7472737.5
France;1900;11;24;7.2545454545;399.9;8077980
France;1900;11;25;6.2090909091;425.575;8596615
France;1900;11;26;5.9545454545;415.1375;8385777.5
France;1900;11;27;5.7181818182;430.3125;8692312.5
France;1900;11;28;4.7;396.8125;8015612.5
France;1900;11;29;4.9272727273;352.025;7110905
France;1900;11;30;4.1363636364;392.775;7934055
France;1900;12;1;5.2090909091;395.8125;7995412.5
France;1900;12;2;5.6363636364;393.8625;7956022.5
France;1900;12;3;5.5363636364;368.15;7436630
France;1900;12;4;5.8818181818;381.4375;7705037.5
France;1900;12;5;6.3181818182;379.325;7662365
France;1900;12;6;5.7;366.625;7405825
France;1900;12;7;4.9363636364;333.1;6728620
France;1900;12;8;4.4636363636;383.375;7744175
France;1900;12;9;3.7909090909;401.3;8106260
France;1900;12;10;2.8818181818;410.525;8292605
