Nom de la demande:Grignon;;;;;;
Pas de temps:Journalier;;;;;;
Date de début:01/09/2003;;;;;;
Date de fin:31/08/2014;;;;;;
Station(s):Grignon;;;;;;
;;;;;;
RG:RAYONNEMENT GLOBAL (JOULES/CM2);;;;;;
TM:TEMPERATURE MOYENNE (DEGRES CELSIUS);;;;;;
;;;;;;
NOM_POSTE;year;month;day;TM;RG;PAR
Grignon;1900;9;1;17.1727272727;1729.2;34929840
Grignon;1900;9;2;17.4545454545;1703.3;34406660
Grignon;1900;9;3;17.9636363636;1678.4;33903680
Grignon;1900;9;4;17.9909090909;1840.1;37170020
Grignon;1900;9;5;18.1272727273;1606.6;32453320
Grignon;1900;9;6;17.7818181818;1580.7;31930140
Grignon;1900;9;7;17.2727272727;1654.2;33414840
Grignon;1900;9;8;17.5272727273;1738.8;35123760
Grignon;1900;9;9;18.0454545455;1498.4;30267680
Grignon;1900;9;10;17.9363636364;1463;29552600
Grignon;1900;9;11;16.8090909091;1276.8;25791360
Grignon;1900;9;12;16.2272727273;1343.4;27136680
Grignon;1900;9;13;15.9272727273;1374.9;27772980
Grignon;1900;9;14;15.7;1505.1;30403020
Grignon;1900;9;15;15.4818181818;1418.4;28651680
Grignon;1900;9;16;15.1909090909;1373.9;27752780
Grignon;1900;9;17;14.4818181818;1267.7;25607540
Grignon;1900;9;18;14.5909090909;1514.8;30598960
Grignon;1900;9;19;14.3;1658.4;33499680
Grignon;1900;9;20;15.1545454545;1593.8;32194760
Grignon;1900;9;21;15.6363636364;1515.9;30621180
Grignon;1900;9;22;15.5363636364;1290.7;26072140
Grignon;1900;9;23;15.6909090909;1214.8;24538960
Grignon;1900;9;24;14.4636363636;1160.6;23444120
Grignon;1900;9;25;14.1909090909;1347.8;27225560
Grignon;1900;9;26;14.0636363636;1262.6;25504520
Grignon;1900;9;27;14.3545454545;1172.6;23686520
Grignon;1900;9;28;14.4727272727;1080.4;21824080
Grignon;1900;9;29;14.5545454545;1128.4;22793680
Grignon;1900;9;30;14.7545454545;1089.1;21999820
Grignon;1900;10;1;15.3727272727;928.9;18763780
Grignon;1900;10;2;14.7545454545;989.6;19989920
Grignon;1900;10;3;14.6636363636;974.4;19682880
Grignon;1900;10;4;14.3545454545;866.7;17507340
Grignon;1900;10;5;14.0181818182;727.7;14699540
Grignon;1900;10;6;14.2454545455;742.8;15004560
Grignon;1900;10;7;13.5181818182;965.9;19511180
Grignon;1900;10;8;13.2818181818;877.6;17727520
Grignon;1900;10;9;13.9909090909;751;15170200
Grignon;1900;10;10;13.5363636364;925.1;18687020
Grignon;1900;10;11;13.7545454545;842.8;17024560
Grignon;1900;10;12;13.1454545455;1002.4;20248480
Grignon;1900;10;13;12.5454545455;943.1;19050620
Grignon;1900;10;14;11.7090909091;1007;20341400
Grignon;1900;10;15;10.5090909091;935.7;18901140
Grignon;1900;10;16;10.7909090909;939.4;18975880
Grignon;1900;10;17;10.6454545455;834.7;16860940
Grignon;1900;10;18;10.1545454545;866.6;17505320
Grignon;1900;10;19;10.7818181818;809.2;16345840
Grignon;1900;10;20;11.3727272727;804.4;16248880
Grignon;1900;10;21;10.6272727273;797.2;16103440
Grignon;1900;10;22;11.2454545455;915.6;18495120
Grignon;1900;10;23;11.1909090909;760.7;15366140
Grignon;1900;10;24;10.7818181818;635.2;12831040
Grignon;1900;10;25;11.1727272727;676.4;13663280
Grignon;1900;10;26;11.1909090909;663.2;13396640
Grignon;1900;10;27;10.2909090909;669.6;13525920
Grignon;1900;10;28;10.4636363636;766.8;15489360
Grignon;1900;10;29;10.4909090909;566.9;11451380
Grignon;1900;10;30;9.8363636364;690.2;13942040
Grignon;1900;10;31;10.0909090909;611.8;12358360
Grignon;1900;11;1;9.6272727273;444.7;8982940
Grignon;1900;11;2;10.0090909091;481.1;9718220
Grignon;1900;11;3;11.0454545455;525.6;10617120
Grignon;1900;11;4;9.8636363636;608;12281600
Grignon;1900;11;5;8.8636363636;551.2;11134240
Grignon;1900;11;6;9.0727272727;557.7;11265540
Grignon;1900;11;7;8.7;425;8585000
Grignon;1900;11;8;8.2363636364;378.2;7639640
Grignon;1900;11;9;8.0454545455;442.3;8934460
Grignon;1900;11;10;7.9636363636;481.7;9730340
Grignon;1900;11;11;8.1545454545;434.9;8784980
Grignon;1900;11;12;8.2818181818;414.3;8368860
Grignon;1900;11;13;8.7;463.2;9356640
Grignon;1900;11;14;7.9818181818;473;9554600
Grignon;1900;11;15;6.8636363636;466.6;9425320
Grignon;1900;11;16;6.6363636364;303.9;6138780
Grignon;1900;11;17;6.7818181818;417.3;8429460
Grignon;1900;11;18;7.0545454545;357;7211400
Grignon;1900;11;19;6.8363636364;407.8;8237560
Grignon;1900;11;20;6.8727272727;382.2;7720440
Grignon;1900;11;21;7.5454545455;325.4;6573080
Grignon;1900;11;22;7.1909090909;424.8;8580960
Grignon;1900;11;23;7.5727272727;296.7;5993340
Grignon;1900;11;24;7.2545454545;327.2;6609440
Grignon;1900;11;25;6.2090909091;360.9;7290180
Grignon;1900;11;26;5.9545454545;377.9;7633580
Grignon;1900;11;27;5.7181818182;364;7352800
Grignon;1900;11;28;4.7;282.4;5704480
Grignon;1900;11;29;4.9272727273;316.4;6391280
Grignon;1900;11;30;4.1363636364;376.1;7597220
Grignon;1900;12;1;5.2090909091;272.2;5498440
Grignon;1900;12;2;5.6363636364;307.3;6207460
Grignon;1900;12;3;5.5363636364;320.9;6482180
Grignon;1900;12;4;5.8818181818;249;5029800
Grignon;1900;12;5;6.3181818182;306.9;6199380
Grignon;1900;12;6;5.7;279;5635800
Grignon;1900;12;7;4.9363636364;294.2;5942840
Grignon;1900;12;8;4.4636363636;259.5;5241900
Grignon;1900;12;9;3.7909090909;320.2;6468040
Grignon;1900;12;10;2.8818181818;384.1;7758820
Grignon;1900;12;11;2.8;352.6;7122520
Grignon;1900;12;12;2.8545454545;362.5;7322500
Grignon;1900;12;13;3.2454545455;305.1;6163020
Grignon;1900;12;14;3.6363636364;352.5;7120500
Grignon;1900;12;15;3.1727272727;405;8181000
Grignon;1900;12;16;3.6272727273;292.9;5916580
Grignon;1900;12;17;2.6727272727;333;6726600
Grignon;1900;12;18;2.2909090909;358.6;7243720
Grignon;1900;12;19;2.7818181818;301.7;6094340
Grignon;1900;12;20;3.1727272727;339.9;6865980
Grignon;1900;12;21;3.8;247.7;5003540
Grignon;1900;12;22;4.4545454545;226.3;4571260
Grignon;1900;12;23;5.1909090909;220;4444000
Grignon;1900;12;24;5.1272727273;253.1;5112620
Grignon;1900;12;25;4.5181818182;320.6;6476120
Grignon;1900;12;26;3.1454545455;370.5;7484100
Grignon;1900;12;27;3.1272727273;294.2;5942840
Grignon;1900;12;28;2.8454545455;253.3;5116660
Grignon;1900;12;29;3.7363636364;357.9;7229580
Grignon;1900;12;30;4.8363636364;254.8;5146960
Grignon;1900;12;31;5.6818181818;192.1;3880420
Grignon;1901;1;1;4.9272727273;217.8;4399560
Grignon;1901;1;2;3.5363636364;373.7;7548740
Grignon;1901;1;3;3.6;348.7;7043740
Grignon;1901;1;4;3.6;349.3;7055860
Grignon;1901;1;5;4.3909090909;242.5;4898500
Grignon;1901;1;6;5.2727272727;243.4;4916680
Grignon;1901;1;7;5.3727272727;381.5;7706300
Grignon;1901;1;8;5.3181818182;281.1;5678220
Grignon;1901;1;9;5.2636363636;338.5;6837700
Grignon;1901;1;10;4.9636363636;322.5;6514500
Grignon;1901;1;11;5.6272727273;267.5;5403500
Grignon;1901;1;12;5.8;317.8;6419560
Grignon;1901;1;13;5.9272727273;296;5979200
Grignon;1901;1;14;4.1545454545;451.6;9122320
Grignon;1901;1;15;3.9454545455;412.8;8338560
Grignon;1901;1;16;4.6818181818;403.4;8148680
Grignon;1901;1;17;5.5636363636;359.1;7253820
Grignon;1901;1;18;5.8090909091;265.2;5357040
Grignon;1901;1;19;6.3;308.1;6223620
Grignon;1901;1;20;5.9090909091;266;5373200
Grignon;1901;1;21;4.9454545455;349.8;7065960
Grignon;1901;1;22;4.5454545455;339.3;6853860
Grignon;1901;1;23;4.2818181818;382.9;7734580
Grignon;1901;1;24;3.3181818182;344.3;6954860
Grignon;1901;1;25;2.3181818182;469.3;9479860
Grignon;1901;1;26;2.0818181818;311.5;6292300
Grignon;1901;1;27;1.7;472.1;9536420
Grignon;1901;1;28;2.7181818182;323.6;6536720
Grignon;1901;1;29;2.5545454545;444.4;8976880
Grignon;1901;1;30;2.5;489.8;9893960
Grignon;1901;1;31;2.9;483.1;9758620
Grignon;1901;2;1;3.4090909091;504.4;10188880
Grignon;1901;2;2;3.2181818182;506.5;10231300
Grignon;1901;2;3;3.5636363636;650.9;13148180
Grignon;1901;2;4;4.8454545455;517.2;10447440
Grignon;1901;2;5;5.5727272727;407.7;8235540
Grignon;1901;2;6;5.4090909091;470.8;9510160
Grignon;1901;2;7;3.4545454545;634.5;12816900
Grignon;1901;2;8;3.9;601.1;12142220
Grignon;1901;2;9;3.2272727273;637.2;12871440
Grignon;1901;2;10;3.2818181818;645.6;13041120
Grignon;1901;2;11;4.3272727273;671.1;13556220
Grignon;1901;2;12;3.6363636364;582.5;11766500
Grignon;1901;2;13;3.3636363636;537.9;10865580
Grignon;1901;2;14;3.8727272727;525.1;10607020
Grignon;1901;2;15;4.2272727273;587.7;11871540
Grignon;1901;2;16;4.1727272727;788.1;15919620
Grignon;1901;2;17;4.6272727273;751.3;15176260
Grignon;1901;2;18;5;638;12887600
Grignon;1901;2;19;4.5545454545;820.3;16570060
Grignon;1901;2;20;4.6727272727;674.5;13624900
Grignon;1901;2;21;4.2818181818;678.5;13705700
Grignon;1901;2;22;4.5727272727;578.5;11685700
Grignon;1901;2;23;4.7909090909;574.8;11610960
Grignon;1901;2;24;5.7727272727;793.2;16022640
Grignon;1901;2;25;5.6272727273;611.6;12354320
Grignon;1901;2;26;4.5454545455;746.9;15087380
Grignon;1901;2;27;4.2181818182;773.1;15616620
Grignon;1901;2;28;4.6454545455;725.1;14647020
Grignon;1901;2;29;6.8;186.5;3767300
Grignon;1901;3;1;4.5545454545;893.3;18044660
Grignon;1901;3;2;4.8545454545;967.7;19547540
Grignon;1901;3;3;4.9;1016.5;20533300
Grignon;1901;3;4;4.5909090909;932.1;18828420
Grignon;1901;3;5;4.4727272727;1087;21957400
Grignon;1901;3;6;4.7545454545;1047;21149400
Grignon;1901;3;7;5.0545454545;914;18462800
