Elapsed_time	Temperature	Temp_cum	Time_count	Sum_temp	Current_PAR	Num_plante	Genotype	Num_talle	Num_cohorte	Nb_phyto_emi	Nb_emerged_leaf	Transiflo_flag	STOP_init_flag	Transiflo_DOY	Ln_final
1.0	10.3	10.3	0.0	0.0	15978200	1	Maxwell	(1,)	-1	4	0	False	False	0	11
1.0	10.3	10.3	0.0	0.0	15978200	2	Maxwell	(1,)	-1	4	0	False	False	0	11
1.0	10.3	10.3	0.0	0.0	15978200	3	Maxwell	(1,)	-1	4	0	False	False	0	11
1.0	10.3	10.3	0.0	0.0	15978200	4	Maxwell	(1,)	-1	4	0	False	False	0	11
2.0	10.4	20.7	0.0	0.0	18584000	1	Maxwell	(1,)	-1	4	0	False	False	0	11
2.0	10.4	20.7	0.0	0.0	18584000	2	Maxwell	(1,)	-1	4	0	False	False	0	11
2.0	10.4	20.7	0.0	0.0	18584000	3	Maxwell	(1,)	-1	4	0	False	False	0	11
2.0	10.4	20.7	0.0	0.0	18584000	4	Maxwell	(1,)	-1	4	0	False	False	0	11
3.0	12.6	33.3	0.0	0.0	8787000	1	Maxwell	(1,)	-1	4	0	False	False	0	11
3.0	12.6	33.3	0.0	0.0	8787000	2	Maxwell	(1,)	-1	4	0	False	False	0	11
3.0	12.6	33.3	0.0	0.0	8787000	3	Maxwell	(1,)	-1	4	0	False	False	0	11
3.0	12.6	33.3	0.0	0.0	8787000	4	Maxwell	(1,)	-1	4	0	False	False	0	11
4.0	11.4	44.7	0.0	0.0	16038800	1	Maxwell	(1,)	-1	4	0	False	False	0	11
4.0	11.4	44.7	0.0	0.0	16038800	2	Maxwell	(1,)	-1	4	0	False	False	0	11
4.0	11.4	44.7	0.0	0.0	16038800	3	Maxwell	(1,)	-1	4	0	False	False	0	11
4.0	11.4	44.7	0.0	0.0	16038800	4	Maxwell	(1,)	-1	4	0	False	False	0	11
5.0	11.3	56.0	0.0	0.0	13776400	1	Maxwell	(1,)	-1	4	0	False	False	0	11
5.0	11.3	56.0	0.0	0.0	13776400	2	Maxwell	(1,)	-1	4	0	False	False	0	11
5.0	11.3	56.0	0.0	0.0	13776400	3	Maxwell	(1,)	-1	4	0	False	False	0	11
5.0	11.3	56.0	11.3	11.3	13776400	4	Maxwell	(1,)	-1	4	1	False	False	0	11
6.0	9.8	65.8	9.8	9.8	10867600	1	Maxwell	(1,)	-1	4	1	False	False	0	11
6.0	9.8	65.8	0.0	0.0	10867600	2	Maxwell	(1,)	-1	4	0	False	False	0	11
6.0	9.8	65.8	0.0	0.0	10867600	3	Maxwell	(1,)	-1	4	0	False	False	0	11
6.0	9.8	65.8	21.1	21.1	10867600	4	Maxwell	(1,)	-1	4	1	False	False	0	11
7.0	10.0	75.8	19.8	19.8	6868000	1	Maxwell	(1,)	-1	4	1	False	False	0	11
7.0	10.0	75.8	10.0	10.0	6868000	2	Maxwell	(1,)	-1	4	1	False	False	0	11
7.0	10.0	75.8	0.0	0.0	6868000	3	Maxwell	(1,)	-1	4	0	False	False	0	11
7.0	10.0	75.8	31.1	31.1	6868000	4	Maxwell	(1,)	-1	4	1	False	False	0	11
8.0	13.7	89.5	33.5	33.5	4686400	1	Maxwell	(1,)	-1	4	1	False	False	0	11
8.0	13.7	89.5	23.7	23.7	4686400	2	Maxwell	(1,)	-1	4	1	False	False	0	11
