Abs_int_PAR	DOY	Elapsed_time	Inc_PAR	Num_plante	Num_talle	Sum_PAR	Temp_cum	Temperature
11678.3017496	95	141.0	30098000	1	(1, 2)	752763.498509	698.3	11.4
1834.72086439	95	141.0	30098000	1	(1, 2, 1)	441878.295446	698.3	11.4
1593.66616941	95	141.0	30098000	1	(1, 4)	352594.19733	698.3	11.4
19912.1650271	95	141.0	30098000	1	(1,)	737593.121866	698.3	11.4
12385.292592	95	141.0	30098000	2	(1, 2)	819802.632942	698.3	11.4
1039.62097146	95	141.0	30098000	2	(1, 2, 1)	270390.345028	698.3	11.4
5213.2811652	95	141.0	30098000	2	(1, 3)	515759.249349	698.3	11.4
2186.47605796	95	141.0	30098000	2	(1, 4)	509989.521965	698.3	11.4
17996.2235344	95	141.0	30098000	2	(1,)	677057.066121	698.3	11.4
9535.60941522	95	141.0	30098000	3	(1, 2)	865594.880803	698.3	11.4
4510.19771402	95	141.0	30098000	3	(1, 3)	608297.651095	698.3	11.4
23549.8073049	95	141.0	30098000	3	(1,)	1013371.63571	698.3	11.4
15392.2057541	95	141.0	30098000	4	(1, 2)	992155.953974	698.3	11.4
3588.67529377	95	141.0	30098000	4	(1, 4)	793983.603581	698.3	11.4
27725.3528227	95	141.0	30098000	4	(1,)	1027011.63824	698.3	11.4
2381.85882459	96	142.0	6140800	1	(1, 2)	248657.891746	705.2	6.9
432.676545265	96	142.0	6140800	1	(1, 2, 1)	163012.56853	705.2	6.9
359.270513416	96	142.0	6140800	1	(1, 4)	125301.298732	705.2	6.9
4096.71874043	96	142.0	6140800	1	(1,)	247898.928403	705.2	6.9
2584.44818231	96	142.0	6140800	2	(1, 2)	277561.23994	705.2	6.9
329.26268449	96	142.0	6140800	2	(1, 2, 1)	134861.114087	705.2	6.9
1091.93475875	96	142.0	6140800	2	(1, 3)	174351.022609	705.2	6.9
503.572953098	96	142.0	6140800	2	(1, 4)	185613.622811	705.2	6.9
3930.80652015	96	142.0	6140800	2	(1,)	241496.233532	705.2	6.9
1996.35262254	96	142.0	6140800	3	(1, 2)	283225.284599	705.2	6.9
1037.51145094	96	142.0	6140800	3	(1, 3)	214518.075975	705.2	6.9
4876.82368721	96	142.0	6140800	3	(1,)	335066.11079	705.2	6.9
3170.33519806	96	142.0	6140800	4	(1, 2)	330972.311468	705.2	6.9
792.236504173	96	142.0	6140800	4	(1, 4)	276305.132366	705.2	6.9
5959.36304224	96	142.0	6140800	4	(1,)	360610.419951	705.2	6.9
5200.62944631	97	143.0	12524000	1	(1, 2)	429268.77412	713.7	8.5
723.074850118	97	143.0	12524000	1	(1, 2, 1)	196308.207688	713.7	8.5
808.187324772	97	143.0	12524000	1	(1, 4)	205738.604716	713.7	8.5
8619.79525698	97	143.0	12524000	1	(1,)	415394.628281	713.7	8.5
5194.34519227	97	143.0	12524000	2	(1, 2)	441551.481103	713.7	8.5
764.565487784	97	143.0	12524000	2	(1, 2, 1)	235158.444164	713.7	8.5
2443.9315991	97	143.0	12524000	2	(1, 3)	306420.034737	713.7	8.5
1087.96148427	97	143.0	12524000	2	(1, 4)	308769.232993	713.7	8.5
7964.69195873	97	143.0	12524000	2	(1,)	391856.843709	713.7	8.5
5541.6154629	97	143.0	12524000	3	(1, 2)	534033.79648	713.7	8.5
2478.84597235	97	143.0	12524000	3	(1, 3)	393853.919712	713.7	8.5
12030.7023003	97	143.0	12524000	3	(1,)	563187.832877	713.7	8.5
6531.9019863	97	143.0	12524000	4	(1, 2)	539154.645517	713.7	8.5
1705.59168491	97	143.0	12524000	4	(1, 4)	434189.478558	713.7	8.5
12331.1841652	97	143.0	12524000	4	(1,)	594249.293655	713.7	8.5
3430.70406334	98	144.0	7918400	1	(1, 2)	371184.648358	720.0	6.3
503.536629231	98	144.0	7918400	1	(1, 2, 1)	163557.508446	720.0	6.3
595.272108827	98	144.0	7918400	1	(1, 4)	183902.219575	720.0	6.3
5574.3996834	98	144.0	7918400	1	(1,)	356388.89412	720.0	6.3
3237.41142865	98	144.0	7918400	2	(1, 2)	364640.726457	720.0	6.3
510.77422609	98	144.0	7918400	2	(1, 2, 1)	212031.568033	720.0	6.3
1607.85655248	98	144.0	7918400	2	(1, 3)	268022.00693	720.0	6.3
698.225913737	98	144.0	7918400	2	(1, 4)	270582.633213	720.0	6.3
5006.23523857	98	144.0	7918400	2	(1,)	328964.412741	720.0	6.3
3507.46890334	98	144.0	7918400	3	(1, 2)	450959.301775	720.0	6.3
1593.61486058	98	144.0	7918400	3	(1, 3)	319106.387376	720.0	6.3
7567.10546643	98	144.0	7918400	3	(1,)	475381.745849	720.0	6.3
4197.3300653	98	144.0	7918400	4	(1, 2)	454130.09759	720.0	6.3
1178.79048617	98	144.0	7918400	4	(1, 4)	364172.909572	720.0	6.3
7911.44405578	98	144.0	7918400	4	(1,)	505803.283298	720.0	6.3
14356.6966473	99	145.0	31027200	1	(1, 2)	1421194.89562	726.7	6.7
1764.38787529	99	145.0	31027200	1	(1, 2, 1)	482554.32036	726.7	6.7
2577.68340518	99	145.0	31027200	1	(1, 4)	674668.20011	726.7	6.7
22568.144068	99	145.0	31027200	1	(1,)	1331880.96843	726.7	6.7
12581.1509559	99	145.0	31027200	2	(1, 2)	1319191.11258	726.7	6.7
2122.334428	99	145.0	31027200	2	(1, 2, 1)	737004.91188	726.7	6.7
5094.79707357	99	145.0	31027200	2	(1, 3)	842780.003638	726.7	6.7
2938.43573733	99	145.0	31027200	2	(1, 4)	960208.189757	726.7	6.7
19784.3847578	99	145.0	31027200	2	(1,)	1211759.60932	726.7	6.7
13835.9732009	99	145.0	31027200	3	(1, 2)	1648199.45117	726.7	6.7
6316.96051878	99	145.0	31027200	3	(1, 3)	1160276.54289	726.7	6.7
29512.8127485	99	145.0	31027200	3	(1,)	1731079.35337	726.7	6.7
16789.4156996	99	145.0	31027200	4	(1, 2)	1662014.84623	726.7	6.7
4925.81442149	99	145.0	31027200	4	(1, 4)	1289253.75864	726.7	6.7
31517.1907928	99	145.0	31027200	4	(1,)	1860016.92787	726.7	6.7
18005.8939915	100	146.0	36703400	1	(1, 2)	1455455.36241	734.6	7.9
2239.32081933	100	146.0	36703400	1	(1, 2, 1)	462789.943884	734.6	7.9
