Elapsed_time	Temperature	Temp_cum	Num_plante	Genotype	Num_talle	Num_rang	Sumtemp	GAI_prox	P_debourr
30.0	1.8	254.8	1	Maxwell	(1,)	1	298.0	0.0654857704814	0.0
30.0	1.8	254.8	4	Maxwell	(1,)	1	309.3	0.0654857704814	0.0
47.0	4.0	266.6	2	Maxwell	(1,)	1	300.0	0.0689806276338	0.0
75.0	4.9	317.4	3	Maxwell	(1,)	1	312.3	0.0961269514918	0.0
80.0	10.2	357.9	1	Maxwell	(1,)	2	356.6	0.12781753462	0.88
80.0	10.2	357.9	4	Maxwell	(1,)	2	367.9	0.12781753462	0.88
81.0	8.7	366.6	2	Maxwell	(1,)	2	355.5	0.134896988464	0.88
92.0	4.3	414.0	3	Maxwell	(1,)	2	364.4	0.193617295878	0.88
104.0	7.1	457.5	1	Maxwell	(1,)	3	411.7	0.251402186748	0.88
104.0	7.1	457.5	4	Maxwell	(1,)	3	423.0	0.251402186748	0.88
105.0	8.4	465.9	2	Maxwell	(1,)	3	410.3	0.258661254854	0.88
111.0	6.8	514.9	3	Maxwell	(1,)	3	420.8	0.357831778638	0.88
120.0	4.1	553.3	1	Maxwell	(1, 2)	1	463.0	0.458621337156	0.88
120.0	4.1	553.3	1	Maxwell	(1,)	4	463.0	0.458621337156	0.88
120.0	4.1	553.3	4	Maxwell	(1, 2)	1	474.3	0.458621337156	0.88
120.0	4.1	553.3	4	Maxwell	(1,)	4	474.3	0.458621337156	0.88
121.0	9.3	562.6	2	Maxwell	(1, 2)	1	462.5	0.465513504457	0.88
121.0	9.3	562.6	2	Maxwell	(1,)	4	462.5	0.465513504457	0.88
