Elapsed_time	Temp_cum	Temperature	Num_plante	Genotype	Num_talle	Num_cohorte	Num_rang	Sheath_sumtemp	Sheath_diameter	Sheath_length	Sheath_final_length	Sheath_surface	Sheath_PAR	Photosynthetic
6.0	65.8	9.8	4	Maxwell	(1,)	-1	1	9.8	0.4	0.0	2.148	0.0	0.0	True
7.0	75.8	10.0	1	Maxwell	(1,)	-1	1	10.0	0.4	0.0	2.148	0.0	0.0	True
7.0	75.8	10.0	4	Maxwell	(1,)	-1	1	19.8	0.4	0.0	2.148	0.0	0.0	True
8.0	89.5	13.7	1	Maxwell	(1,)	-1	1	23.7	0.4	0.0	2.148	0.0	0.0	True
8.0	89.5	13.7	2	Maxwell	(1,)	-1	1	13.7	0.4	0.0	2.148	0.0	0.0	True
8.0	89.5	13.7	4	Maxwell	(1,)	-1	1	33.5	0.4	0.0	2.148	0.0	0.0	True
9.0	104.3	14.8	1	Maxwell	(1,)	-1	1	38.5	0.4	0.0	2.148	0.0	0.0	True
9.0	104.3	14.8	2	Maxwell	(1,)	-1	1	28.5	0.4	0.0	2.148	0.0	0.0	True
9.0	104.3	14.8	4	Maxwell	(1,)	-1	1	48.3	0.4	0.0	2.148	0.0	0.0	True
10.0	118.8	14.5	1	Maxwell	(1,)	-1	1	53.0	0.4	0.0	2.148	0.0	0.0	True
10.0	118.8	14.5	2	Maxwell	(1,)	-1	1	43.0	0.4	0.0	2.148	0.0	0.0	True
10.0	118.8	14.5	4	Maxwell	(1,)	-1	1	62.8	0.4	0.0	2.148	0.0	0.0	True
11.0	130.0	11.2	1	Maxwell	(1,)	-1	1	64.2	0.4	0.0	2.148	0.0	0.0	True
11.0	130.0	11.2	2	Maxwell	(1,)	-1	1	54.2	0.4	0.0	2.148	0.0	0.0	True
11.0	130.0	11.2	3	Maxwell	(1,)	-1	1	11.2	0.4	0.0	2.148	0.0	0.0	True
11.0	130.0	11.2	4	Maxwell	(1,)	-1	1	74.0	0.4	0.0	2.148	0.0	0.0	True
12.0	136.1	6.1	1	Maxwell	(1,)	-1	1	70.3	0.4	0.0	2.148	0.0	0.0	True
12.0	136.1	6.1	2	Maxwell	(1,)	-1	1	60.3	0.4	0.0	2.148	0.0	0.0	True
12.0	136.1	6.1	3	Maxwell	(1,)	-1	1	17.3	0.4	0.0	2.148	0.0	0.0	True
12.0	136.1	6.1	4	Maxwell	(1,)	-1	1	80.1	0.4	0.0	2.148	0.0	0.0	True
13.0	141.2	5.1	1	Maxwell	(1,)	-1	1	75.4	0.4	0.0	2.148	0.0	0.0	True
13.0	141.2	5.1	2	Maxwell	(1,)	-1	1	65.4	0.4	0.0	2.148	0.0	0.0	True
13.0	141.2	5.1	3	Maxwell	(1,)	-1	1	22.4	0.4	0.0	2.148	0.0	0.0	True
13.0	141.2	5.1	4	Maxwell	(1,)	-1	1	85.2	0.4	0.0	2.148	0.0	0.0	True
14.0	149.3	8.1	1	Maxwell	(1,)	-1	1	83.5	0.4	0.0	2.148	0.0	0.0	True
14.0	149.3	8.1	2	Maxwell	(1,)	-1	1	73.5	0.4	0.0	2.148	0.0	0.0	True
14.0	149.3	8.1	3	Maxwell	(1,)	-1	1	30.5	0.4	0.0	2.148	0.0	0.0	True
14.0	149.3	8.1	4	Maxwell	(1,)	-1	1	93.3	0.4	0.0	2.148	0.0	0.0	True
